GEOID,NAME,STATEFP,cluster_score
25017,Middlesex,25,0.38035982008995506
06073,San Diego,06,0.3699746718157109
06037,Los Angeles,06,0.33921893364675715
06081,San Mateo,06,0.24106330075693003
06059,Orange,06,0.21772489116057422
06085,Santa Clara,06,0.17102272536132831
04013,Maricopa,04,0.152574208408137
06001,Alameda,06,0.14772175697598364
36103,Suffolk,36,0.13907701027144298
42091,Montgomery,42,0.1200607918073232
17097,Lake,17,0.11625565703097805
53033,King,53,0.11395328887538281
17031,Cook,17,0.106747904229315
24031,Montgomery,24,0.10498624098571507
48201,Harris,48,0.10000217062106836
37063,Durham,37,0.0977467591666289
27109,Olmsted,27,0.09723431237688135
34023,Middlesex,34,0.09429773440024299
49035,Salt Lake,49,0.0839902238751337
55025,Dane,55,0.08386989857993325
48453,Travis,48,0.08217812372796399
12086,Miami-Dade,12,0.07916846951030308
25025,Suffolk,25,0.0784826733977813
37183,Wake,37,0.07741841628603371
34035,Somerset,34,0.07612469008577237
48113,Dallas,48,0.07601048417985685
18097,Marion,18,0.07591597806182922
35001,Bernalillo,35,0.07234949546276119
26125,Oakland,26,0.07005065957244692
51059,Fairfax,51,0.06882264872478816
34003,Bergen,34,0.06850111246332172
12011,Broward,12,0.06726948124399175
36061,New York,36,0.06697909059147102
06075,San Francisco,06,0.06633134842985602
20091,Johnson,20,0.060512642225740425
32003,Clark,32,0.06000550985325801
08013,Boulder,08,0.05854650407460016
27053,Hennepin,27,0.05819214017310183
29189,St. Louis,29,0.05688549437216428
12057,Hillsborough,12,0.05638073286254619
48029,Bexar,48,0.05569826476867347
10003,New Castle,10,0.05383901168338792
12099,Palm Beach,12,0.049183858492807236
25027,Worcester,25,0.04568639123113943
36029,Erie,36,0.04564891397660503
06067,Sacramento,06,0.04458004729871415
42101,Philadelphia,42,0.043169087536582176
42003,Allegheny,42,0.04311036062265908
25021,Norfolk,25,0.042832829498275764
06111,Ventura,06,0.04276329753704193
